,0,1
192,"('EBB', 'EEA')",4
193,"('EAE', 'EBE')",4
194,"('EAC', 'EE')",3
195,"('EAF', 'ECD')",3
196,"('EA', 'EBC')",3
197,"('EAE', 'EBC')",3
198,"('EAB', 'EBE')",3
199,"('ECD', 'EEB')",3
200,"('EBA', 'EEA')",3
201,"('ECD', 'EEA')",3
202,"('EAD', 'EBE')",3
203,"('EAF', 'EBE')",3
204,"('EBA', 'EEB')",2
205,"('EAF', 'EBD')",2
206,"('EBD', 'EDB')",2
207,"('EAC', 'ECD')",2
208,"('EAF', 'EEB')",2
209,"('EAC', 'EEA')",2
210,"('EAC', 'EEB')",1
211,"('EAC', 'EBD')",1
212,"('EBB', 'EBD')",1
213,"('EAC', 'ECC')",1
214,"('EAA', 'EBC')",1
215,"('EAD', 'EBC')",1
216,"('EAF', 'EBC')",1
217,"('EBB', 'EBC')",1
218,"('EBC', 'EC')",1
219,"('EBC', 'ECA')",1
220,"('EBC', 'ECD')",1
221,"('EBC', 'ED')",1
222,"('EBC', 'EDA')",1
223,"('EBC', 'EDB')",1
224,"('EBD', 'ECB')",1
225,"('EBA', 'EBE')",1
226,"('EBB', 'EBE')",1
227,"('EBD', 'ECD')",1
228,"('EAC', 'EBE')",1
229,"('EBE', 'EC')",1
230,"('EBE', 'ECA')",1
231,"('EBE', 'ECB')",1
232,"('EBE', 'ED')",1
233,"('EBE', 'EDA')",1
234,"('EBE', 'EDB')",1
235,"('EBE', 'EE')",1
236,"('EBE', 'EEA')",1
237,"('EBD', 'EE')",1
238,"('EBD', 'EEA')",1
