"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9WIXBZZW","book","1633","Gilbert, William","Tractatus: sive, Physiologia Nova de Magnete, Magneticisque; corporibus & magno Magnete tellure, sex libris comprehensus, a Guilielmo Gilberto Colcestrensi, medico Londinensi. in quibus ea, que ad hanc materiam spectant, plurimis & Argumentis & experimentis exactissime absolutissime tractantur & explicantur. Omnia nunc diligenter recognita, & emendatius quam ante in lucem edita, aucta & figuris illustrata, opera & studio D. Wolfgangi lochmans, I. U. D. & Mathematici. Ad calcem libri adiunctus est inddex capitum, rerum & Verborum locupletissimus, qui in priore aditione desiderabatur.","","","","","","","1633","2020-08-31 13:40:24","2020-11-26 14:51:13","","","","","","","","Tractatus, sive Physiologia nova","","","","","Georg Götzke","Stettin","Latin","","","","","Open WorldCat","","Sedini, Typis Gotzianis. Anno M.DC.XXXIII.","","; ","https://jbc.bj.uj.edu.pl/dlibra/docmetadata?showContent=true&id=765770; https://manifests.sub.uni-goettingen.de/iiif/presentation/PPN772417385/manifest","Physik; Magnet; Gilbert; Marginalien; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I4LUNDU2","book","1600","Gilbert, William","De magnete, magneticisque corporibus, et de magno magnete tellure; physiologia nova, plurimis & argumentis, & experimentis demonstrata.","","","","","","","1600","2020-08-31 13:40:24","2021-01-14 08:07:54","","","","","","","","De magnete","","","","","Peter Short","London","Latin","","","","","Open WorldCat","","Londini. Excudebat Petrus Short Anno MDC.","","","https://www.e-rara.ch/i3f/v20/2224875/manifest","Mathematik; Physik; Bewegung; Fracastoro; Magie; Technik; Magnet; Alchemie; Gilbert; Marginalien; Kosmologie; Botanik; Polarität; Norman; Abweichung; Taisnier; Perpetuum mobile; Disziplinen; Erfindung; Inklination; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; IIIF; ONLINE; TR_HTR checked; TR_LAYOUT tagged","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQAPQER4","book","1643","Kircher, Athanasius","Magnes; sive, De arte magnetica opus tripartitum, Quo Praeterquam quod universa magnetis natura, eiusque in omnibus Artibus & Scientijs usus nova Methodo explicetur, è viribus quoque & prodigiosis effectibus Magneticarum, aliarumque abditarum Naturae motionum in Elementis, Lapidibus, Plantis & Animalibus elucescentium, multa hucusque incognita Naturae arcana per Physica, Medica, Chymica & Mathematica omnis generis experimenta recuduntur.","","","","","","","1643","2020-08-31 13:40:24","2020-11-26 15:06:53","","","","","","","","Magnes","","","","","Jodocum Kalcoven","Cologne","Latin","","","","","Open WorldCat","","Editio secunda post Romanam multò correctior. Coloniae Agrippinae,Apud Iodocum Kalcoven, Anno M.DC.XLIII. Consensu Auctors, Speriorum Facultate, & speciali S. Cesarea <m. <privilegio.","","","https://www.e-rara.ch/i3f/v20/4318564/manifest","Magnet; Jesuiten; Kircher; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZZVH8Q3","book","1641","Kircher, Athanasius","Magnes; sive, De arte magnetica opus tripartitum Quo Praeterquam quod universa magnetis Natura, eiusque in omnibus Artibus & Scientijs usus nova, methodo explicetur, è viribus quoque & prodigiosis effectibus Magneticarum, aliarumque abditarum Naturae motionum in Elementis, Lapidibus, Plantis & Animalibus elucescentium, multa hucusque incognita Naturae arcana per Physica, Medica, Chymica, & Mathematica omnis generis experimenta recluduntur.","","","","","","","1641","2020-08-31 13:40:24","2020-11-26 15:06:13","","","","","","","","Magnes","","","","","Ludovici Grignani; Hermanni Scheus","Rome","Latin","","","","","Open WorldCat","","Sumptibus Hermanni Scheus sub signo Reginae. Romae, Ex Typographia Ludovici Grignani. MDCXLI. Superiorum permissus.","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11111144/manifest","Mathematik; Physik; Bewegung; Magie; Sympathie; Technik; Ägypter; Magnet; Alchemie; Jesuiten; Kircher; Mss; Telegraph; Garzoni; Botanik; Maschine; Geologie; Museum; Norman; Abweichung; Uhr; Taisnier; Perpetuum mobile; Tabelle; ausgedruckt; Portaleone; Sonnenblume; Plautus; Erfindung; Inklination; Merseburg; Messwerte; Schweben; DB; WP; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; Z_PRIORITY; TR_IMAGESELECTION; IIIF; ONLINE; onl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ISB4NA9","book","1591","Bruno, Giordano","De imaginum, signorum, et idearum compositione: Ad omnia inventionum dispositionum, et memoriae genera libri tres. Ad illustrem et Generosis. Ioan. Hainricum Heincellium Elconia Dominum. Credite et intelligetis.","","","","","","","1591","2020-08-31 13:40:24","2020-11-26 13:59:27","","","","","","","","De imaginum","","","","","Joan Wechelum; Petrum Fischerum consortes","Frankfurt","Latin","","","","","Open WorldCat","","Francofurti, ap. Joan. Wechelum et Petrum Fischerum consortes. 1591.","","","https://www.e-rara.ch/i3f/v20/2565500/manifest","Magie; Astrologie; Bruno; Amulett; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7GATTC8U","book","1554","Medina, Pedro de","L'arte del navigar, in laqual si contengono le regole, dechiarationi, secreti, & avisi, alla bona navegatione necessarij.","","","","","","","1554","2020-08-31 13:40:24","2020-11-26 11:46:31","","","","","","","","L'arte del navigar","","","","","Giovanbattista Pedrezano","Venice","French","","","","","Open WorldCat","","In Vinetia, ad instantia di Giovanbattusta Pedrezano, libraro al segno della Torre, à pie del ponte di Rialto. Con privilegio del Illistris. Senato Veneto. Peanni XV. MDLIIII.","","","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10198194/manifest","Avicenna; Navigation; Kompass; Instrument; Abweichung; Medina; Handbuch; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; IIIF; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S38KXIQ5","book","1647","Descartes, René","Les principes de la philosophie escrits en latin","","","","","","","1647","2020-08-31 13:40:24","2020-11-27 08:57:01","","","","","","","","Les principes de la philosophie","","","","","Henry Le Gras","Paris","French","","","","","Open WorldCat","","A Paris Chez Henry Le Gras, au troisieme pilier de la grande Salle du Palais, à L Couronnée. M.DC.XLVII. avec Privilege du Roy","","","https://gallica.bnf.fr/ark:/12148/btv1b8600298z","Physik; Descartes; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; Z_PRIORITY2; ONLINE","","","","Picot, Claude","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36ICSW89","book","1644","Descartes, René","Principia philosophiae","","","","","","","1644","2020-08-31 13:40:24","2021-07-01 17:53:50","","","","","","","","Principia philosophiae.","","","","","Ludovicum Elzevirium","Amsterdam","Latin","","","","","Open WorldCat","","Amstelodami, apud Ludovicum Elzevirium, Anno MDCXLIV. Cum privilegium.","","","http://echo.mpiwg-berlin.mpg.de/MPIWG:D1EAAM5H","Physik; Descartes; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; Z_PRIORITY2; LOCAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ITVIX74D","book","1672","Descartes, René","Principia philosophiae","","","","","","","1672","2020-08-31 13:40:24","2020-11-30 09:35:14","","","","","","","","","","","","","Danielem Elzevirium","Amsterdam","Latin","","","","","Open WorldCat","","Amstelodami, Apud Danielem Elzevirium","","","http://kvk.bibliothek.kit.edu/view-title/index.php?katalog=ARCHIVE_ORG&url=http%3A%2F%2Farchive.org%2Fdetails%2Fita-bnc-mag-00001405-001&signature=0rdJYvYjc6h0HLDfKZvWyqmuIYrYmdfyIqxYeXgLIEw&showCoverImg=1","Physik; Descartes; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; Z_METADATA; TR_IMAGESELECTION; ONLINE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6ER2L6K","book","1615","Crüger, Petrus; Stodertus, Adrianus","De motu magnetis disputatio publica ordinaria","","","","","","","1615","2020-08-31 13:40:24","2020-12-18 10:11:33","","","","","","","","De motu magnetis","","","","","Hünefeld","Danzig","Latin","","","","","Open WorldCat","","","","","https://www.dropbox.com/home/christoph_imagedb/Documents/Cr%C3%BCger%2C%20Stodertus%201615%20U6ER2L6K","Magnet; Disputation; Gilbert; Porta; Nutrimentum; Deutschland; DB; TR_LAYOUT; TR_ONTR; TR_TRANSCRIPTION; TR_IMAGESELECTION; LOCAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
