Id,Gilbert/De magnete/Liber 1/cap. 1,Gilbert/De magnete/Liber 1/cap. 2,Gilbert/De magnete/Liber 1/cap. 3,Gilbert/De magnete/Liber 1/cap. 4,Gilbert/De magnete/Liber 1/cap. 5,Gilbert/De magnete/Liber 1/cap. 6,Gilbert/De magnete/Liber 1/cap. 7,Gilbert/De magnete/Liber 1/cap. 8,Gilbert/De magnete/Liber 1/cap. 9,Gilbert/De magnete/Liber 1/cap. 10,Gilbert/De magnete/Liber 1/cap. 11,Gilbert/De magnete/Liber 1/cap. 12,Gilbert/De magnete/Liber 1/cap. 13,Gilbert/De magnete/Liber 1/cap. 14,Gilbert/De magnete/Liber 1/cap. 15,Gilbert/De magnete/Liber 1/cap. 16,Gilbert/De magnete/Liber 1/cap. 17,Gilbert/De magnete/Liber 2/cap. 1,Gilbert/De magnete/Liber 2/cap. 2,Gilbert/De magnete/Liber 2/cap. 3,Gilbert/De magnete/Liber 2/cap. 4,Gilbert/De magnete/Liber 2/cap. 5,Gilbert/De magnete/Liber 2/cap. 6,Gilbert/De magnete/Liber 2/cap. 7,Gilbert/De magnete/Liber 2/cap. 8,Gilbert/De magnete/Liber 2/cap. 9,Gilbert/De magnete/Liber 2/cap. 10,Gilbert/De magnete/Liber 2/cap. 11,Gilbert/De magnete/Liber 2/cap. 12,Gilbert/De magnete/Liber 2/cap. 13,Gilbert/De magnete/Liber 2/cap. 14,Gilbert/De magnete/Liber 2/cap. 15,Gilbert/De magnete/Liber 2/cap. 16,Gilbert/De magnete/Liber 2/cap. 17,Gilbert/De magnete/Liber 2/cap. 18,Gilbert/De magnete/Liber 2/cap. 19,Gilbert/De magnete/Liber 2/cap. 20,Gilbert/De magnete/Liber 2/cap. 21,Gilbert/De magnete/Liber 2/cap. 22,Gilbert/De magnete/Liber 2/cap. 23,Gilbert/De magnete/Liber 2/cap. 24,Gilbert/De magnete/Liber 2/cap. 25,Gilbert/De magnete/Liber 2/cap. 26,Gilbert/De magnete/Liber 2/cap. 27,Gilbert/De magnete/Liber 2/cap. 28,Gilbert/De magnete/Liber 2/cap. 29,Gilbert/De magnete/Liber 2/cap. 30,Gilbert/De magnete/Liber 2/cap. 31,Gilbert/De magnete/Liber 2/cap. 32,Gilbert/De magnete/Liber 2/cap. 33,Gilbert/De magnete/Liber 2/cap. 34,Gilbert/De magnete/Liber 2/cap. 35,Gilbert/De magnete/Liber 2/cap. 36,Gilbert/De magnete/Liber 2/cap. 37,Gilbert/De magnete/Liber 2/cap. 38,Gilbert/De magnete/Liber 2/cap. 39,Gilbert/De magnete/Liber 3/cap. 1,Gilbert/De magnete/Liber 3/cap. 2,Gilbert/De magnete/Liber 3/cap. 3,Gilbert/De magnete/Liber 3/cap. 4,Gilbert/De magnete/Liber 3/cap. 5,Gilbert/De magnete/Liber 3/cap. 6,Gilbert/De magnete/Liber 3/cap. 7,Gilbert/De magnete/Liber 3/cap. 8,Gilbert/De magnete/Liber 3/cap. 9,Gilbert/De magnete/Liber 3/cap. 10,Gilbert/De magnete/Liber 3/cap. 11,Gilbert/De magnete/Liber 3/cap. 12,Gilbert/De magnete/Liber 3/cap. 13,Gilbert/De magnete/Liber 3/cap. 14,Gilbert/De magnete/Liber 3/cap. 15,Gilbert/De magnete/Liber 3/cap. 16,Gilbert/De magnete/Liber 3/cap. 17,Gilbert/De magnete/Liber 4/cap. 1,Gilbert/De magnete/Liber 4/cap. 2,Gilbert/De magnete/Liber 4/cap. 3,Gilbert/De magnete/Liber 4/cap. 4,Gilbert/De magnete/Liber 4/cap. 5,Gilbert/De magnete/Liber 4/cap. 6,Gilbert/De magnete/Liber 4/cap. 7,Gilbert/De magnete/Liber 4/cap. 8,Gilbert/De magnete/Liber 4/cap. 9,Gilbert/De magnete/Liber 4/cap. 10,Gilbert/De magnete/Liber 4/cap. 11,Gilbert/De magnete/Liber 4/cap. 12,Gilbert/De magnete/Liber 4/cap. 13,Gilbert/De magnete/Liber 4/cap. 14,Gilbert/De magnete/Liber 4/cap. 15,Gilbert/De magnete/Liber 4/cap. 16,Gilbert/De magnete/Liber 4/cap. 17,Gilbert/De magnete/Liber 4/cap. 18,Gilbert/De magnete/Liber 4/cap. 19,Gilbert/De magnete/Liber 4/cap. 20,Gilbert/De magnete/Liber 4/cap. 21,Gilbert/De magnete/Liber 5/cap. 1,Gilbert/De magnete/Liber 5/cap. 2,Gilbert/De magnete/Liber 5/cap. 3,Gilbert/De magnete/Liber 5/cap. 4,Gilbert/De magnete/Liber 5/cap. 5,Gilbert/De magnete/Liber 5/cap. 6,Gilbert/De magnete/Liber 5/cap. 7,Gilbert/De magnete/Liber 5/cap. 8,Gilbert/De magnete/Liber 5/cap. 9,Gilbert/De magnete/Liber 5/cap. 10,Gilbert/De magnete/Liber 5/cap. 11,Gilbert/De magnete/Liber 5/cap. 12,Gilbert/De magnete/Liber 6/cap. 1,Gilbert/De magnete/Liber 6/cap. 2,Gilbert/De magnete/Liber 6/cap. 3,Gilbert/De magnete/Liber 6/cap. 4,Gilbert/De magnete/Liber 6/cap. 5,Gilbert/De magnete/Liber 6/cap. 6,Gilbert/De magnete/Liber 6/cap. 7,Gilbert/De magnete/Liber 6/cap. 8,Gilbert/De magnete/Liber 6/cap. 9,Cluster
1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,8,10,0,0,0,0,1
1351,9,7,0,0,0,1,8,1,0,1,0,0,0,0,0,5,7,3,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,9,0,0,3,0,1
1355,10,8,8,4,13,6,20,6,5,2,3,5,5,7,16,15,11,3,43,6,27,11,5,2,4,2,3,1,2,1,3,3,12,7,4,3,3,6,5,6,5,7,5,6,6,5,2,1,11,4,4,5,7,5,7,5,14,9,7,15,3,2,0,1,3,4,2,16,9,2,4,3,21,12,1,2,3,5,5,6,10,6,3,1,0,0,1,1,0,0,0,0,0,1,4,2,1,2,4,0,0,0,2,2,2,8,3,6,18,11,5,5,3,5,3,3
1357,24,8,8,8,10,4,17,11,4,3,6,9,6,7,6,8,8,6,42,11,13,9,5,5,3,5,5,1,1,3,4,3,8,5,3,2,2,2,4,4,4,8,6,6,3,2,1,1,7,2,4,2,3,2,7,2,23,16,9,16,5,2,3,5,14,6,2,14,7,1,6,3,17,20,4,2,4,5,15,7,6,14,10,5,22,10,6,12,12,6,12,6,11,7,17,12,7,3,5,11,9,19,11,4,9,10,7,8,21,18,16,8,5,14,16,5
1362,4,1,3,2,4,1,2,2,2,1,3,2,2,1,0,2,0,0,8,4,7,3,0,1,0,0,1,1,1,0,1,1,4,2,1,1,1,2,3,3,2,3,2,2,2,2,1,1,5,2,2,1,0,0,0,0,4,2,1,2,0,0,1,1,0,1,0,3,0,0,1,1,2,6,2,1,1,2,1,1,2,2,2,1,3,1,0,0,0,0,0,0,1,1,3,0,0,1,1,1,1,3,1,1,2,0,2,2,1,1,0,0,0,0,0,0
1363,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4,0,15,2,13,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,2,4,2,1,2,1,2,4,2,1,5,3,1,1,2,2,8,4,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,1,1
1364,1,0,4,4,4,1,2,2,2,3,6,7,3,1,0,4,4,4,19,0,3,0,0,0,0,0,0,0,0,0,0,2,5,2,1,0,0,0,0,0,0,2,1,0,0,1,1,2,4,1,0,0,0,1,2,0,5,4,4,2,2,1,1,2,3,5,2,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0,1,0
1366,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,14,5,10,2,0,2,1,1
1369,10,3,1,1,4,3,10,3,2,1,1,2,3,3,5,6,6,2,29,4,9,6,1,1,1,1,2,1,1,0,2,1,7,4,2,0,0,6,2,4,3,5,4,4,5,4,1,2,8,1,2,2,1,3,4,1,7,10,9,15,3,3,3,4,7,4,2,10,4,1,4,2,8,7,6,1,1,2,2,3,4,4,3,1,1,2,1,2,3,2,3,1,3,4,6,3,0,2,3,0,0,0,0,1,3,3,2,4,8,5,9,2,0,0,0,4
1373,5,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,1,1,0,0,3,6,1
1381,9,6,5,1,1,2,2,0,0,0,0,0,0,2,2,2,0,2,11,3,7,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1393,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,2,3,1,0,1
1438,3,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
1443,14,10,6,2,4,6,19,8,5,2,0,3,4,4,7,8,13,4,30,4,22,8,1,1,1,1,2,1,2,1,2,1,7,6,3,0,0,1,2,2,2,4,4,4,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,27,12,13,9,4,3,1,0
1457,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,1
1458,14,6,4,2,4,1,8,4,1,1,3,3,1,4,5,5,9,4,18,6,13,5,1,1,0,1,1,0,0,1,2,2,4,3,2,0,0,2,3,2,3,5,0,0,2,4,2,1,2,3,1,1,1,0,3,2,6,2,3,4,1,1,3,3,3,3,1,4,3,1,2,1,4,4,1,1,0,1,3,0,2,2,1,0,3,0,0,0,1,1,1,0,1,1,1,0,0,0,1,2,1,0,0,0,2,4,1,1,4,2,3,2,0,0,3,0
1464,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1
1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,20,4,7,3,2,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,3,1,1,0,1
1473,3,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,8,2,7,0,1,1,0,3,3,0,0,0,2,0,4,2,1,0,0,0,2,4,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,2,0,4,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1474,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1
1476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,2,3,1,2,1,2,2,0,0,0,0,1,0,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,1,2,0,0,2,0,2,0,1
1478,9,5,4,3,3,1,3,0,0,0,0,0,0,0,0,3,1,0,1,4,5,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
1482,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,6,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1483,8,8,3,2,2,2,6,3,1,2,4,5,3,2,3,3,8,1,25,7,10,6,2,2,2,2,2,2,2,2,3,2,4,3,1,1,1,1,1,2,3,5,4,3,3,4,2,1,6,4,3,1,1,2,5,3,4,5,5,7,2,1,3,2,3,3,2,4,2,1,3,1,5,7,3,1,2,2,4,1,3,6,4,2,6,3,1,2,3,2,4,2,4,3,4,3,2,0,3,4,3,4,4,2,4,4,1,0,6,7,11,2,2,6,3,4
