Id,polarity,mineralogy,specimen,natural history,medicine,doxography,causal explanation,magnetic force,sphere of activity,attraction/repulsion,theoretical,compass,instrument,direction,practice,declination,navigation,inclination,astronomy/astrology/cosmology,Copernicanism
1013,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0
1020,0.15173674588665442,0.1389396709323583,0.1389396709323583,0.1389396709323583,0.1389396709323583,0.1389396709323583,0.029250457038391235,0.029250457038391235,0.012797074954296167,0.012797074954296167,0.029250457038391235,0.0018281535648994524,0.0018281535648994524,0.0,0.0018281535648994524,0.0,0.0,0.0018281535648994524,0.016453382084095074,0.016453382084095074
1021,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.18181818181818177,0.18181818181818177,0.0909090909090909,0.18181818181818177,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0
1026,0.12024048096192363,0.07314629258517037,0.07314629258517037,0.07314629258517037,0.07314629258517037,0.07314629258517037,0.08717434869739481,0.07715430861723448,0.043086172344689366,0.043086172344689366,0.07715430861723448,0.027054108216432844,0.027054108216432844,0.004008016032064124,0.027054108216432844,0.010020040080160308,0.010020040080160308,0.0130260521042084,0.034068136272545076,0.034068136272545076
1027,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,0.13496932515337418,0.06441717791411043,0.06441717791411043,0.06441717791411043,0.06441717791411043,0.06441717791411043,0.09509202453987728,0.06441717791411043,0.061349693251533756,0.061349693251533756,0.06441717791411043,0.03987730061349695,0.03987730061349695,0.009202453987730065,0.03987730061349695,0.03067484662576689,0.03067484662576689,0.0,0.0030674846625766885,0.0030674846625766885
1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
1054,0.0,0.0,0.0,0.0,0.0,0.0,0.13414634146341461,0.048780487804878064,0.0,0.0,0.048780487804878064,0.14634146341463414,0.14634146341463414,0.0,0.14634146341463414,0.0853658536585366,0.0853658536585366,0.06097560975609759,0.048780487804878064,0.048780487804878064
1055,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1059,0.15721231766612667,0.04700162074554291,0.04700162074554291,0.04700162074554291,0.04700162074554291,0.04700162074554291,0.10048622366288497,0.09238249594813615,0.08589951377633709,0.08589951377633709,0.09238249594813615,0.032414910858995116,0.032414910858995116,0.02431118314424634,0.032414910858995116,0.008103727714748783,0.008103727714748783,0.0,0.0064829821717990255,0.0064829821717990255
1065,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.18421052631578944,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.10526315789473684,0.10526315789473684
1075,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.1875,0.1875,0.125,0.1875,0.0625,0.0625,0.0,0.0,0.0
1086,0.048723897911832896,0.0,0.0,0.0,0.0,0.0,0.13457076566125292,0.0324825986078886,0.0324825986078886,0.0324825986078886,0.0324825986078886,0.14617169373549888,0.14617169373549888,0.016241299303944304,0.14617169373549888,0.10208816705336426,0.10208816705336426,0.02784222737819023,0.0,0.0
1087,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0
1089,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1090,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0
1092,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
1093,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
1105,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
1106,0.1714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.0,0.0,0.0,0.0,0.0
1123,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131,0.1645569620253163,0.08101265822784813,0.08101265822784813,0.08101265822784813,0.08101265822784813,0.08101265822784813,0.08607594936708862,0.08607594936708862,0.08354430379746838,0.08354430379746838,0.08607594936708862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002531645569620254,0.002531645569620254
1140,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
1148,0.11025641025641025,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.14358974358974358,0.1282051282051282,0.08205128205128205,0.08205128205128205,0.1282051282051282,0.038461538461538464,0.038461538461538464,0.015384615384615385,0.038461538461538464,0.015384615384615385,0.015384615384615385,0.007692307692307693,0.046153846153846156,0.046153846153846156
1149,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
1186,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1189,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1315,0.06692406692406688,0.005148005148005145,0.005148005148005145,0.005148005148005145,0.005148005148005145,0.005148005148005145,0.1595881595881598,0.12226512226512223,0.05062205062205061,0.05062205062205061,0.12226512226512223,0.05534105534105532,0.05534105534105532,0.011154011154011148,0.05534105534105532,0.03732303732303734,0.03732303732303734,0.0068640068640068615,0.07164307164307168,0.07164307164307168
1316,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1327,0.1666666666666667,0.05555555555555556,0.05555555555555556,0.05555555555555556,0.05555555555555556,0.05555555555555556,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1328,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,0.1132776230269268,0.04363974001857011,0.04363974001857011,0.04363974001857011,0.04363974001857011,0.04363974001857011,0.0993500464252554,0.0687093779015784,0.04178272980501394,0.04178272980501394,0.0687093779015784,0.06592386258124415,0.06592386258124415,0.027855153203342625,0.06592386258124415,0.030640668523676893,0.030640668523676893,0.007428040854224696,0.026926648096564535,0.026926648096564535
1334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1341,0.0,0.0,0.0,0.0,0.0,0.0,0.19597989949748743,0.1758793969849246,0.0,0.0,0.1758793969849246,0.02010050251256282,0.02010050251256282,0.0,0.02010050251256282,0.02010050251256282,0.02010050251256282,0.0,0.1758793969849246,0.1758793969849246
1346,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
1348,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1351,0.11971830985915488,0.09154929577464793,0.09154929577464793,0.09154929577464793,0.09154929577464793,0.09154929577464793,0.08450704225352117,0.08450704225352117,0.028169014084507032,0.028169014084507032,0.08450704225352117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0563380281690141,0.0563380281690141
1352,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.02380952380952381,0.02380952380952381,0.02380952380952381,0.02380952380952381,0.02380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1355,0.13802509547190367,0.03927986906710311,0.03927986906710311,0.03927986906710311,0.03927986906710311,0.03927986906710311,0.09901800327332218,0.08346972176759408,0.06737588652482286,0.06737588652482286,0.08346972176759408,0.05428259683578842,0.05428259683578842,0.03136933987997816,0.05428259683578842,0.015548281505728295,0.015548281505728295,0.0073649754500818235,0.016093835242771394,0.016093835242771394
1356,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.0,0.0
1357,0.09897476340694016,0.028982649842271266,0.028982649842271266,0.028982649842271266,0.028982649842271266,0.028982649842271266,0.10153785488959,0.06289432176656154,0.04061514195583595,0.04061514195583595,0.06289432176656154,0.09108832807570985,0.09108832807570985,0.02937697160883278,0.09108832807570985,0.03864353312302833,0.03864353312302833,0.023067823343848545,0.022279179810725518,0.022279179810725518
1362,0.12670157068062826,0.033507853403141365,0.033507853403141365,0.033507853403141365,0.033507853403141365,0.033507853403141365,0.10785340314136126,0.07958115183246073,0.07329842931937172,0.07329842931937172,0.07958115183246073,0.06282722513089005,0.06282722513089005,0.019895287958115182,0.06282722513089005,0.028272251308900525,0.028272251308900525,0.014659685863874346,0.0062827225130890054,0.0062827225130890054
1363,0.15360501567398122,0.012539184952978044,0.012539184952978044,0.012539184952978044,0.012539184952978044,0.012539184952978044,0.14733542319749218,0.14420062695924765,0.13322884012539188,0.13322884012539188,0.14420062695924765,0.014106583072100297,0.014106583072100297,0.007836990595611278,0.014106583072100297,0.003134796238244511,0.003134796238244511,0.003134796238244511,0.010971786833855789,0.010971786833855789
1364,0.16475972540045772,0.05491990846681921,0.05491990846681921,0.05491990846681921,0.05491990846681921,0.05491990846681921,0.07093821510297484,0.07093821510297484,0.05835240274599542,0.05835240274599542,0.07093821510297484,0.05148741418764302,0.05148741418764302,0.05148741418764302,0.05148741418764302,0.0,0.0,0.0,0.01258581235697939,0.01258581235697939
1365,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1366,0.031358885017421616,0.031358885017421616,0.031358885017421616,0.031358885017421616,0.031358885017421616,0.031358885017421616,0.14634146341463408,0.13588850174216024,0.0,0.0,0.13588850174216024,0.027874564459930324,0.027874564459930324,0.0,0.027874564459930324,0.010452961672473872,0.010452961672473872,0.017421602787456452,0.13588850174216024,0.13588850174216024
1368,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
1369,0.13155555555555556,0.028444444444444442,0.028444444444444442,0.028444444444444442,0.028444444444444442,0.028444444444444442,0.09866666666666665,0.07377777777777778,0.06044444444444444,0.06044444444444444,0.07377777777777778,0.07688888888888888,0.07688888888888888,0.042666666666666665,0.07688888888888888,0.024888888888888887,0.024888888888888887,0.009333333333333332,0.013333333333333332,0.013333333333333332
1370,0.1818181818181818,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0,0.0
1372,0.08536585365853659,0.07317073170731708,0.07317073170731708,0.07317073170731708,0.07317073170731708,0.07317073170731708,0.10975609756097562,0.10975609756097562,0.012195121951219513,0.012195121951219513,0.10975609756097562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.0975609756097561
1373,0.08029197080291971,0.06569343065693431,0.06569343065693431,0.06569343065693431,0.06569343065693431,0.06569343065693431,0.11313868613138689,0.10218978102189781,0.010948905109489052,0.010948905109489052,0.10218978102189781,0.014598540145985401,0.014598540145985401,0.0036496350364963502,0.014598540145985401,0.010948905109489052,0.010948905109489052,0.0,0.09124087591240876,0.09124087591240876
1374,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125
1376,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1377,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1378,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1380,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1381,0.1658986175115207,0.07373271889400922,0.07373271889400922,0.07373271889400922,0.07373271889400922,0.07373271889400922,0.08755760368663594,0.08755760368663594,0.08755760368663594,0.08755760368663594,0.08755760368663594,0.00691244239631337,0.00691244239631337,0.0046082949308755795,0.00691244239631337,0.0,0.0,0.0023041474654377898,0.0,0.0
1391,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1392,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393,0.16184971098265896,0.05780346820809248,0.05780346820809248,0.05780346820809248,0.05780346820809248,0.05780346820809248,0.10404624277456646,0.09826589595375722,0.09826589595375722,0.09826589595375722,0.09826589595375722,0.011560693641618495,0.011560693641618495,0.005780346820809247,0.011560693641618495,0.005780346820809247,0.005780346820809247,0.0,0.0,0.0
1395,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1396,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
1423,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
