,0,1
193,"('ECB', 'EEA')",26
194,"('ECC', 'EEA')",26
195,"('EAA', 'EEA')",25
196,"('EAF', 'ECA')",25
197,"('EC', 'MAC')",25
198,"('ECA', 'MAC')",25
199,"('EDB', 'EEB')",25
200,"('ECB', 'EEB')",25
201,"('EEB', 'MCB')",25
202,"('EA', 'MAE')",24
203,"('EAE', 'ECB')",24
204,"('EBA', 'MCB')",24
205,"('EAF', 'EB')",24
206,"('EC', 'MAF')",24
207,"('EAA', 'EEB')",24
208,"('EE', 'MAA')",23
209,"('ED', 'MAC')",23
210,"('EBA', 'ECB')",23
211,"('EAA', 'EAF')",23
212,"('EAA', 'MAF')",23
213,"('ECC', 'EEB')",23
214,"('EDA', 'MAC')",22
215,"('EAB', 'EEB')",22
216,"('ECA', 'MAF')",22
217,"('EEA', 'MAA')",21
218,"('EBA', 'MAC')",21
219,"('EAB', 'MAF')",21
220,"('EAD', 'ECD')",21
221,"('EAB', 'EAF')",21
222,"('EAF', 'MAA')",21
223,"('EAD', 'ECB')",20
224,"('EAF', 'EDB')",20
225,"('EB', 'MAF')",20
226,"('ECD', 'EDB')",20
227,"('EEA', 'EEB')",20
228,"('EAE', 'MAE')",19
229,"('EAC', 'EDB')",19
230,"('ED', 'MAF')",19
231,"('EDA', 'MAF')",19
232,"('EAF', 'MAG')",18
233,"('EC', 'MAE')",18
234,"('MAE', 'MAG')",18
235,"('ECC', 'MCA')",18
236,"('EAC', 'MCB')",18
237,"('EAD', 'MCB')",18
238,"('EAF', 'EBA')",18
239,"('EAD', 'EAF')",17
240,"('EDB', 'MAC')",17
241,"('EBA', 'MAF')",17
242,"('EAB', 'ECD')",17
243,"('EAF', 'MCA')",17
244,"('EAE', 'ECD')",17
245,"('EA', 'EBD')",17
246,"('ECA', 'MAE')",16
247,"('ED', 'MAE')",16
248,"('EDA', 'MAE')",16
249,"('EAF', 'MCB')",16
250,"('EEB', 'MAA')",16
251,"('ECB', 'MAG')",15
252,"('MAF', 'MCA')",15
253,"('MAF', 'MCB')",15
254,"('EAD', 'EE')",14
255,"('EAC', 'EAE')",14
256,"('EBD', 'MCA')",14
257,"('EAD', 'MAB')",13
258,"('EA', 'MCD')",13
259,"('EAF', 'ECB')",13
260,"('EAF', 'MAE')",13
261,"('MAE', 'MCA')",13
262,"('ECC', 'ECD')",13
263,"('EAA', 'MAE')",13
264,"('EB', 'ECC')",13
265,"('EAD', 'MAE')",12
266,"('EAE', 'MCD')",12
267,"('ECB', 'MAE')",12
268,"('EAC', 'EAD')",12
269,"('EAA', 'EBD')",12
270,"('EAD', 'MAF')",12
271,"('EDB', 'MAE')",11
272,"('EAC', 'MAG')",11
273,"('EAE', 'EE')",11
274,"('EBD', 'MAA')",11
275,"('MAG', 'MCD')",10
276,"('EAD', 'ECC')",10
277,"('EAB', 'MAC')",10
278,"('EB', 'EE')",10
279,"('EBA', 'ECC')",10
280,"('MAG', 'MCB')",10
281,"('MAB', 'MCB')",10
282,"('ECD', 'MAF')",10
283,"('EE', 'MAF')",10
284,"('EAD', 'EEA')",9
285,"('EE', 'MCA')",9
286,"('EAB', 'MAE')",9
287,"('EE', 'MAG')",9
288,"('EAE', 'ECC')",9
289,"('EAC', 'EAF')",9
290,"('ECD', 'MCB')",9
291,"('ECB', 'MAF')",9
292,"('EDB', 'MAF')",9
293,"('MAE', 'MCD')",8
294,"('EAB', 'EBD')",8
295,"('EBA', 'EBD')",8
296,"('EAE', 'MAF')",8
297,"('EB', 'EEA')",8
298,"('EEA', 'MAF')",8
299,"('EE', 'MAB')",7
300,"('EEA', 'MCA')",7
301,"('EAD', 'MCD')",7
302,"('EAF', 'MCD')",7
303,"('EAD', 'EEB')",7
304,"('ECC', 'MAG')",7
305,"('EBD', 'EC')",7
306,"('EAD', 'EBD')",7
307,"('ECB', 'MAB')",7
308,"('EAE', 'EBD')",7
309,"('EA', 'EBE')",7
310,"('ECC', 'MAF')",7
311,"('EAE', 'EEA')",7
312,"('MAB', 'MAF')",7
313,"('MAC', 'MAG')",6
314,"('EAB', 'MCD')",6
315,"('EAE', 'EEB')",6
316,"('EB', 'MCD')",6
317,"('EBD', 'ECA')",6
318,"('ECB', 'ECD')",6
319,"('ECD', 'EE')",6
320,"('EEB', 'MAF')",6
321,"('EEA', 'MAG')",6
322,"('ECC', 'MAB')",6
323,"('EEA', 'MAB')",5
324,"('EC', 'MCD')",5
325,"('ECA', 'MCD')",5
326,"('ED', 'MCD')",5
327,"('EDA', 'MCD')",5
328,"('EB', 'MAE')",5
329,"('EBA', 'EE')",5
330,"('EE', 'MAE')",5
331,"('EEB', 'MAG')",5
332,"('ECD', 'MAB')",5
333,"('MAA', 'MAG')",5
334,"('EAE', 'MAC')",5
335,"('EAF', 'ECC')",5
336,"('ECC', 'MAE')",5
337,"('EAC', 'ECB')",5
338,"('EBD', 'MAG')",5
339,"('EAF', 'EE')",5
340,"('EEB', 'MAB')",5
341,"('EDB', 'MCD')",4
342,"('EBA', 'MAE')",4
343,"('ECB', 'MAC')",4
344,"('EBD', 'ED')",4
345,"('EBD', 'EDA')",4
346,"('ECD', 'MAG')",4
347,"('ECD', 'MAE')",4
348,"('EAA', 'EBE')",4
349,"('EBE', 'MAA')",4
350,"('EA', 'MB')",4
351,"('EAF', 'EEA')",4
352,"('EB', 'MB')",4
353,"('EBA', 'MB')",4
354,"('MB', 'MCA')",4
355,"('EAE', 'EBE')",4
356,"('ECB', 'MCD')",3
357,"('EAC', 'EE')",3
358,"('EEB', 'MAE')",3
359,"('EAA', 'MCD')",3
360,"('MAA', 'MCD')",3
361,"('EAC', 'MAC')",3
362,"('EAF', 'ECD')",3
363,"('EAC', 'MAB')",3
364,"('EA', 'EBC')",3
365,"('EAE', 'EBC')",3
366,"('EBC', 'MAA')",3
367,"('EA', 'MAD')",3
368,"('MAD', 'MCA')",3
369,"('MAE', 'MCB')",3
370,"('EAB', 'EBE')",3
371,"('EBE', 'MCA')",3
372,"('ECD', 'EEB')",3
373,"('EAD', 'MB')",3
374,"('EBA', 'EEA')",3
375,"('EC', 'MB')",3
376,"('ECA', 'MB')",3
377,"('ECD', 'EEA')",3
378,"('EAD', 'EBE')",3
379,"('EAF', 'EBE')",3
380,"('EBE', 'MAG')",3
381,"('EA', 'MBB')",3
382,"('EAA', 'MB')",3
383,"('EAA', 'MBB')",3
384,"('EB', 'MBB')",3
385,"('EBA', 'MBB')",3
386,"('MAF', 'MB')",3
387,"('MAF', 'MBB')",3
388,"('MBB', 'MCA')",3
389,"('EBE', 'MCD')",3
390,"('EAE', 'MAB')",2
391,"('EAC', 'MAE')",2
392,"('EBA', 'EEB')",2
393,"('EBA', 'MCD')",2
394,"('EAD', 'MAC')",2
395,"('EAF', 'EBD')",2
396,"('EBD', 'EDB')",2
397,"('EBD', 'MCB')",2
398,"('MAC', 'MCB')",2
399,"('EAC', 'ECD')",2
400,"('EBC', 'MCA')",2
401,"('EB', 'MAD')",2
402,"('EBA', 'MAD')",2
403,"('EC', 'MAD')",2
404,"('ECA', 'MAD')",2
405,"('MAA', 'MCC')",2
406,"('EEB', 'MCA')",2
407,"('EAF', 'EEB')",2
408,"('EAC', 'EEA')",2
409,"('EEA', 'MAE')",2
410,"('MAE', 'MAF')",2
411,"('MAB', 'MB')",2
412,"('MAB', 'MBB')",2
413,"('EAD', 'MBB')",2
414,"('EC', 'MBB')",2
415,"('ECA', 'MBB')",2
416,"('EAC', 'EEB')",1
417,"('EAC', 'MCD')",1
418,"('EE', 'MCD')",1
419,"('EEB', 'MCD')",1
420,"('MCA', 'MCD')",1
421,"('ECD', 'MAC')",1
422,"('EAC', 'EBD')",1
423,"('EAF', 'MAB')",1
424,"('EAC', 'ECC')",1
425,"('EAA', 'EBC')",1
426,"('EAD', 'EBC')",1
427,"('EAF', 'EBC')",1
428,"('EBC', 'EC')",1
429,"('EBC', 'ECA')",1
430,"('EBC', 'ECD')",1
431,"('EBC', 'ED')",1
432,"('EBC', 'EDA')",1
433,"('EBC', 'EDB')",1
434,"('EBC', 'MCB')",1
435,"('EAC', 'MAD')",1
436,"('EBD', 'MAF')",1
437,"('EC', 'MCC')",1
438,"('ECA', 'MCC')",1
439,"('ECB', 'MCC')",1
440,"('ED', 'MCC')",1
441,"('EDA', 'MCC')",1
442,"('EA', 'MCC')",1
443,"('EAA', 'MCC')",1
444,"('EAB', 'MCC')",1
445,"('EAD', 'MCC')",1
446,"('EB', 'MCC')",1
447,"('EBA', 'MCC')",1
448,"('EBD', 'ECB')",1
449,"('EAA', 'MAD')",1
450,"('EBA', 'EBE')",1
451,"('EBD', 'ECD')",1
452,"('EA', 'MBA')",1
453,"('EAD', 'MBA')",1
454,"('EAF', 'MB')",1
455,"('EAF', 'MBA')",1
456,"('EB', 'MBA')",1
457,"('EBA', 'MBA')",1
458,"('EC', 'MBA')",1
459,"('ECA', 'MBA')",1
460,"('EE', 'MB')",1
461,"('EE', 'MBA')",1
462,"('EEA', 'MB')",1
463,"('EEA', 'MBA')",1
464,"('MAA', 'MB')",1
465,"('MAA', 'MBA')",1
466,"('MBA', 'MCA')",1
467,"('EAF', 'MAF')",1
468,"('EE', 'MAC')",1
469,"('EEA', 'MAC')",1
470,"('MAA', 'MAE')",1
471,"('EAC', 'EBE')",1
472,"('EBE', 'EC')",1
473,"('EBE', 'ECA')",1
474,"('EBE', 'ECB')",1
475,"('EBE', 'ED')",1
476,"('EBE', 'EDA')",1
477,"('EBE', 'EDB')",1
478,"('EBE', 'EE')",1
479,"('EBE', 'EEA')",1
480,"('EBE', 'MCB')",1
481,"('EAB', 'MB')",1
482,"('EAB', 'MBB')",1
483,"('ED', 'MB')",1
484,"('ED', 'MBB')",1
485,"('EDA', 'MB')",1
486,"('EDA', 'MBB')",1
487,"('EAB', 'MAD')",1
488,"('EAC', 'MAF')",1
489,"('EBD', 'EE')",1
490,"('EBD', 'EEA')",1
491,"('MAC', 'MAE')",1
492,"('EBD', 'MAC')",1
493,"('EBD', 'MCD')",1
494,"('MAC', 'MCD')",1
