TagCodeA,TagCodeB,DescriptionA,DescriptionB,PMI
EAE,MAF,phrases,separate sheet,1.4713754834286563
EBD,MAF,tabular shapes,separate sheet,1.2040916045935042
EAA,MAF,letters,separate sheet,-0.03975198135938004
EC,MAF,concrete elements,separate sheet,0.26918663281538896
ECA,MAF,physical objects,separate sheet,0.1773388769878188
EA,EBE,text,taxonomic shapes,0.1017298869638263
EAA,EBE,letters,taxonomic shapes,-0.46377826386547827
EAB,EBE,numbers,taxonomic shapes,0.5539878539431017
EBE,MAA,taxonomic shapes,integrated in the layout,-0.6450834931587273
EBE,MCA,taxonomic shapes,woodcut,-1.0994265293721028
EC,MCC,concrete elements,drawing,-0.40888527229724864
ECA,MCC,physical objects,drawing,-0.3752021460409599
ECB,MCC,persons or human body,drawing,2.5402335587005673
ED,MCC,plasticity,drawing,-0.23409685893589652
EDA,MCC,light/shadow,drawing,-0.18309790973222298
MAA,MCC,integrated in the layout,drawing,0.1622714288988771
EA,MCC,text,drawing,-0.8982701130361738
EAA,MCC,letters,drawing,-0.6564233418078742
EAB,MCC,numbers,drawing,0.7763802752795497
EAD,MCC,words,drawing,1.8061276186736017
EB,MCC,abstract elements,drawing,-0.46155085097761545
EBA,MCC,geometric shapes,drawing,-0.15470178404572052
EBD,ECB,tabular shapes,persons or human body,-0.5472292825497723
EAA,MAD,letters,in the margin,-1.2413858425290305
EAA,EEB,letters,creator signature,0.12118423685567778
EAD,MAF,words,separate sheet,1.4841995237862395
ECD,EE,topographical structures,paratext,1.9316585007574605
ECD,EEB,topographical structures,creator signature,1.5166210014786166
ECD,MAF,topographical structures,separate sheet,3.1540509220939086
ED,MAF,plasticity,separate sheet,0.10694005889917049
EDA,MAF,light/shadow,separate sheet,0.157939008102844
EE,MAF,paratext,separate sheet,3.221165117952446
EEB,MAF,creator signature,separate sheet,3.069162024507396
EEB,MCA,creator signature,woodcut,-3.684389030093259
EBA,EBE,geometric shapes,taxonomic shapes,-1.9620567061033245
EBD,ECD,tabular shapes,topographical structures,0.6515505815647255
EA,MB,text,interactive,0.1017298869638263
EA,MBA,text,volvelle,0.1017298869638263
EAD,MB,words,interactive,2.391090119394758
EAD,MBA,words,volvelle,2.8061276186736017
EAF,EE,sentences,paratext,1.8061276186736017
EAF,EEA,sentences,caption,1.7890541053146602
EAF,MB,sentences,interactive,2.876516946565
EAF,MBA,sentences,volvelle,4.876516946565
EB,EEA,abstract elements,caption,-1.5490136922279552
EB,MB,abstract elements,interactive,0.5384491490223845
EB,MBA,abstract elements,volvelle,0.5384491490223845
EBA,EEA,geometric shapes,caption,-2.657202124574904
EBA,MB,geometric shapes,interactive,0.8452982159542795
EBA,MBA,geometric shapes,volvelle,0.8452982159542795
EC,MB,concrete elements,interactive,0.17607722842390755
EC,MBA,concrete elements,volvelle,0.5911147277027514
ECA,MB,physical objects,interactive,0.20976035468019613
ECA,MBA,physical objects,volvelle,0.6247978539590401
EE,MB,paratext,interactive,2.8061276186736017
EE,MBA,paratext,volvelle,4.806127618673602
EEA,MB,caption,interactive,3.110982200202023
EEA,MBA,caption,volvelle,5.110982200202023
MAA,MB,integrated in the layout,interactive,-1.8377285711011229
MAA,MBA,integrated in the layout,volvelle,0.1622714288988771
MB,MCA,interactive,woodcut,0.12296589196434529
MBA,MCA,volvelle,woodcut,0.12296589196434529
ECB,EE,persons or human body,paratext,3.102112446308682
ECB,EEB,persons or human body,creator signature,3.376734826417688
ECB,MAF,persons or human body,separate sheet,1.8032679645343612
